Time,Voltage,Readout
0.0,0.045263659209012985,0.0
5.690380930900574e-07,0.045239243656396866,0.0
1.1378433555364609e-06,0.045239243656396866,0.0
1.7066486179828644e-06,0.045312486588954926,0.0
2.2756867110729218e-06,0.045385729521512985,0.0
2.8444919735193253e-06,0.045483384281396866,0.0
3.4132972359657288e-06,0.045532211661338806,0.0
3.982335329055786e-06,0.045483384281396866,0.0
4.55114059150219e-06,0.045361313968896866,0.0
5.120178684592247e-06,0.04514158517122269,0.0
5.6889839470386505e-06,0.04489744454622269,0.0
6.257789209485054e-06,0.04465330392122269,0.0
6.826827302575111e-06,0.04445799067616463,0.0
7.395632565021515e-06,0.04426267743110657,0.0
7.964437827467918e-06,0.04411619156599045,0.0
8.533475920557976e-06,0.04409177973866463,0.0
9.10228118300438e-06,0.04416502267122269,0.0
9.671086445450783e-06,0.044360335916280746,0.0
1.024012453854084e-05,0.044677719473838806,0.0
1.0808929800987244e-05,0.04501951485872269,0.0
1.1377967894077301e-05,0.045385729521512985,0.0
1.1946773156523705e-05,0.045727524906396866,0.0
1.2515578418970108e-05,0.045971669256687164,0.0
1.3084616512060165e-05,0.046166982501745224,0.0
1.3653421774506569e-05,0.046289052814245224,0.0
1.4222227036952972e-05,0.046362295746803284,0.0
1.479126513004303e-05,0.046411123126745224,0.0
1.5360070392489433e-05,0.046411123126745224,0.0
1.5928875654935837e-05,0.046362295746803284,0.0
1.6497913748025894e-05,0.046264637261629105,0.0
1.7066719010472298e-05,0.046166982501745224,0.0
1.76355242729187e-05,0.046069324016571045,0.0
1.820456236600876e-05,0.045947253704071045,0.0
1.8773367628455162e-05,0.045800767838954926,0.0
1.934240572154522e-05,0.045629870146512985,0.0
1.9911210983991623e-05,0.045483384281396866,0.0
2.0480016246438026e-05,0.045312486588954926,0.0
2.1049054339528084e-05,0.045190416276454926,0.0
2.1617859601974487e-05,0.045239243656396866,0.0
2.218666486442089e-05,0.045434556901454926,0.0
2.2755702957510948e-05,0.045751940459012985,0.0
2.332450821995735e-05,0.046020496636629105,0.0
2.3893313482403755e-05,0.046264637261629105,0.0
2.4462351575493813e-05,0.046386707574129105,0.0
2.5031156837940216e-05,0.046411123126745224,0.0
2.559996210038662e-05,0.046337880194187164,0.0
2.6169000193476677e-05,0.046215809881687164,0.0
